lambda,benefit,fee,term,mode,capacity_cost,W_plus,W_minus,A_plus,A_minus,S_plus,S_minus,q_plus,q_minus,principal_b1_plus,principal_b1_minus,agent_delta,principal_b1_delta,replay_error
0.125,0.45,0.85,1,full,0.01,-0.7367738938663722,-0.7370282106477893,0.890233276155981,0.8879302322603687,0.0,0.0,0.7690882489977932,0.7693425657792103,0.12114502715818787,0.11858766648115837,0.0002543167814171854,0.0025573606770294965,4.440892098500626e-16
0.125,0.45,0.85,1,zero,0.01,-0.7722312168082436,-0.7720795083304453,0.8902332761559811,0.8879302322603688,0.0,0.0,0.8045455719396646,0.8043938634618663,0.08568770421631655,0.08353636879850257,-0.00015170847779832908,0.002151335417813982,4.440892098500626e-16
0.25,0.4,0.85,1,full,0.01,-0.7812817408316516,-0.7814911182822188,0.890233276155981,0.8879302322603688,0.0,0.0,0.8135960959630726,0.8138054734136398,0.07663718019290844,0.07412475884672898,0.00020937745056726076,0.002512421346179461,4.440892098500626e-16
0.25,0.4,0.85,1,zero,0.01,-0.8167313387359506,-0.816563185290265,0.890233276155981,0.8879302322603687,0.0,0.0,0.8490456938673716,0.848877540421686,0.041187582288609415,0.03905269183868276,-0.00016815344568565926,0.002134890449926652,4.440892098500626e-16
0.25,0.425,0.85,1,full,0.01,-0.7590259089277519,-0.7592928624757097,0.890233276155981,0.8879302322603688,0.0,0.0,0.7913402640591729,0.7916072176071307,0.09889301209680812,0.09632301465323811,0.00026695354795780446,0.0025699974435700046,4.440892098500626e-16
0.25,0.425,0.85,1,zero,0.01,-0.794475506832051,-0.7943649294837558,0.890233276155981,0.8879302322603687,0.0,0.0,0.826789861963472,0.8266792846151768,0.06344341419250898,0.0612509476451919,-0.00011057734829522659,0.0021924665473170846,4.440892098500626e-16
0.25,0.45,0.85,1,full,0.01,-0.7367700770238523,-0.7370946066692002,0.890233276155981,0.8879302322603688,0.0,0.0,0.7690844321552733,0.7694089618006212,0.12114884400070769,0.11852127045974759,0.00032452964534790407,0.002627573540960104,4.440892098500626e-16
0.25,0.45,0.85,1,zero,0.01,-0.7722196749281516,-0.7721666736772466,0.890233276155981,0.8879302322603687,0.0,0.0,0.8045340300595726,0.8044810288086676,0.08569924609640844,0.08344920345170115,-5.300125090501595e-05,0.002250042644707295,4.440892098500626e-16
0.125,0.425,0.8,1,full,0.01,-0.7590297257702717,-0.7592264664542986,0.890233276155981,0.8879302322603687,0.0,0.0,0.7913440809016927,0.7915408215857196,0.0988891952542883,0.09638941067464912,0.00019674068402686373,0.002499784579639175,4.440892098500626e-16
0.125,0.425,0.8,1,zero,0.01,-0.7944695790980255,-0.7942777217509648,0.8329287876473532,0.887897935748603,0.06899514599046101,0.0,0.8267839342294465,0.8265920768823858,0.006144853417906715,0.0613058588662172,-0.000191857347060731,-0.055161005448310485,4.440892098500626e-16
0.0,0.4,0.8,1,full,0.01,-0.7812894819809195,-0.7813583768642767,0.890233276155981,0.8879302322603687,0.0,0.0,0.8136038371123405,0.8136727319956977,0.0766294390436405,0.07425750026467104,6.889488335715122e-05,0.0023719387789694624,4.440892098500626e-16
0.0,0.4,0.8,1,zero,0.01,-0.8149928041569428,-0.8163851837872431,0.8173047057690581,0.8878258341690396,0.0879475089252974,0.0,0.8473071592883638,0.8486995389186641,-0.03000245351930564,0.039126295250375476,0.0013923796303003666,-0.06912874876968111,4.440892098500626e-16
0.125,0.425,0.0,8,full,0.0,-0.7590297257702717,-0.7592264664542986,0.890233276155981,0.8879302322603687,0.0,0.0,0.7813440809016927,0.7815408215857196,0.1088891952542883,0.10638941067464913,0.00019674068402686373,0.002499784579639175,8.881784197001252e-16
0.125,0.425,0.0,8,zero,0.0,-0.7944870487121432,-0.7942777217509648,0.8902332761559811,0.887897935748603,0.0,0.0,0.8168014038435641,0.8165920768823858,0.07343187231241699,0.07130585886621721,-0.0002093269611783688,0.0021260134461997815,1.3322676295501878e-15
0.125,0.425,0.85,1,up,0.01,-0.7590297257702717,-0.7592264664542986,0.890233276155981,0.8879302322603687,0.0,0.0,0.7913440809016927,0.7915408215857196,0.0988891952542883,0.09638941067464912,0.00019674068402686373,0.002499784579639175,4.440892098500626e-16
0.125,0.425,0.85,1,down,0.01,-0.7944870487121432,-0.7942777217509648,0.8902332761559811,0.887897935748603,0.0,0.0,0.8268014038435642,0.8265920768823858,0.06343187231241698,0.0613058588662172,-0.0002093269611783688,0.0021260134461997815,4.440892098500626e-16
