case,n,T,m,method,lower_exact,upper_exact,absolute_width,relative_width,target_met,nodes,stop,search_seconds,archived_check_seconds
inventory3,16,32,4,aggregate,404847581194599039659763268061805334706463034464857765747212779031/25961484292674138142652481646100480000000000000000000000000000000,269754533492426101071182467678002077178138642297545183660642767519160999491446764266066885526694091450838683285404950065119688965215160056050083238889303843694029883194585617664590831907807915940931637891858014524505775424230114873348877901322105210050624017332407232290913799556836295595819426436715605081767717265257565872057013295339217249271968502502318020885425545032701647028824129622671369174091634779909368831915115633103928792539251632498818217/17293143564223825091557463866796802581145122247929746201838220830402884398163261810920598828067725815768373457603749558667428465858111629503235393863407923083700671150769031339990111850973781997899886470770313484583895275140228286508288265343167904685458683433036683649335012104308785078049768089253867503477139927475479633443617144197027759170551261630979887338996862473930905092094134837925998451257017863725615792783360000000000000000000000000000000,0.004768267856804451,0.0003056791651759521,False,13,time_cap,120.88564840499998,13.401223770000001
inventory3,16,32,4,certified_intersection,404847581194599039659763268061805334706463034464857765747212779031/25961484292674138142652481646100480000000000000000000000000000000,8839238211044141277830632304546097766636615494646898202089372709982097850548785442126837955865006327772693307559311861552292659803782874213404995469356462153313285747405351770737446913197450354697453070107689033513803681310729213777507930207105003893975973398754778559762150060536274697747285087123124682071995559804748623807445997084571725365144129376093250652708895903869776279437208600176883768237070955586226947078251870714787643598568665266499983958843/566661728312486300600154975987197626978963365820161923541834820170641715959013763020246182398123239531098061458759665538414295969238601875562017386116150823606703592268399618948795985132708888507183479874201632262845080375795000492303589878764925900733110138733746049821409676633990269437534800748670730353938921143516516628680446581048205612500623741123948948324249189545767898057740610369159117250789961358560978297925140480000000000000000000000000000000,0.004630015294891535,0.0002968188441667263,False,,combined three computations,,
queue0,4,4,3,bellman,349809839123471/549755813888000,35820527526671679/56294995342131200,7.60722329573582e-12,1.1955396237007663e-11,True,1,target,0.0669597739999972,0.05425554999999349
queue0,4,4,3,aggregate,699619678248567/1099511627776000,35820527526671679/56294995342131200,6.1292944053548124e-12,9.632705708844728e-12,True,1,target,0.020529922999969585,0.01239488800001709
queue0,4,4,3,certified_intersection,699619678248567/1099511627776000,35820527526671679/56294995342131200,6.1292944053548124e-12,9.632705708844728e-12,True,,combined three computations,,
queue1,8,8,3,bellman,5178982027894856253/1374389534720000000,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.0009799364715305599,0.00025998628121015415,True,49,target,25.720087344,13.876846476000011
queue1,8,8,3,aggregate,5178958207891575003/1374389534720000000,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.0009972678049549684,0.00026458444553644715,True,153,target,18.778144091,11.700556218000003
queue1,8,8,3,certified_intersection,5178982027894856253/1374389534720000000,4469164457837173414497624260686173061203981174624429828992554579494630338793098855868131/1185710993790117841137366886488964176417484642976159375764045660241030447512944640000000,0.0009799364715305599,0.00025998628121015415,True,,combined three computations,,
queue2,8,16,4,bellman,2037656992105225662978331/268435456000000000000000,319480227480689334878806165222408703251553798263133730724508244618869492908253065668910516973938720595984868140802885774052754672660729926361710124451548812988862495629457506572474265997019489597114429816517718166760506939844987/42081087212386988057927919063041029324402718422585390875986247224549857234376646576909332290220707609815863750849425741704155458001470430905022518165215046799641789369027556785533310063074581738170346013886251008000000000000000,0.0011507514872884479,0.00015157393018726397,False,81,time_cap,121.181255609,51.34019481499999
queue2,8,16,4,aggregate,127289222656862324761341/16777216000000000000000,79870056872972676256508564017779253384211644628531273057861467731676869685115620042923274306369562987187243822485263299504860425040554297078529881399882462954858884144417805045384025082028854028489538115345563629659361884136373/10520271803096747014481979765760257331100679605646347718996561806137464308594161644227333072555176902453965937712356435426038864500367607726255629541303761699910447342256889196383327515768645434542586503471562752000000000000000,0.0049856758382730675,0.0006566999823749185,False,331,time_cap,120.177691633,53.89141963499998
queue2,8,16,4,certified_intersection,2037656992105225662978331/268435456000000000000000,255584181939765884455968830442659391786985607246332839952551168535473991997019882323042963867988185693130410879862949198412413696745588865581147294863760694806961306275934506694617703711607181954686110022497625121010852824629487/33664869769909590446342335250432823459522174738068312700788997779639885787501317261527465832176566087852691000679540593363324366401176344724018014532172037439713431495222045428426648050459665390536276811109000806400000000000000,0.0011507501569525888,0.0001515737549855172,False,,combined three computations,,
queue3,16,32,4,bellman,16005004645739168377947090763949208247816777/1374389534720000000000000000000000000000000,3308548488981363269448100539903517500701683963873952247623188344519045365958866594297436431453938012683502039592193190859993240131088868530253718905486140330959727448107667936570260378437648840606959384827220082669657975697152635465670757330102234508874922585054262727471287226700874780407280241817676597966451300383761591230736288949146110950791788925702246857803772541679157647447223717434001332228972153530790545288446528830180253278581797075010619829783/283330864156243150300077487993598813489481682910080961770917410085320857979506881510123091199061619765549030729379832769207147984619300937781008693058075411803351796134199809474397992566354444253591739937100816131422540187897500246151794939382462950366555069366873024910704838316995134718767400374335365176969460571758258314340223290524102806250311870561974474162124594772883949028870305184579558625394980679280489148962570240000000000000000000000000000000,0.03215818433107235,0.0027538983293014115,False,7,time_cap,127.73040685699999,30.47431461399998
queue3,16,32,4,aggregate,16047973905053387127947090763949208247816777/1374389534720000000000000000000000000000000,98703439491458528688998434464420927696287021707599654589250765279841141047473071548752670814577998385691072589679584377734300745273175511597006630372765446520546075466581965976150369708405133425227184558155826519319751161798388425264226098166386267735765741667677196485760851596902587873667488029233471/8452712498170643941637436558664265704301557216577944354047371344426782440907597751590676094202515006314790319892114058862117560952042968596008623655407033230534186943984081346699704282822823056848387726531379014466368452684024987821414350380272583623832617294363807973376000000000000000000000000000000,0.0006941945859859027,5.9449065639026874e-05,True,1,target,16.054802693,1.4559663190000265
queue3,16,32,4,certified_intersection,16047973905053387127947090763949208247816777/1374389534720000000000000000000000000000000,827120572005757948055812074771566728202931993495699254782781273793961567322258211753347185625792494292579110100248725647970196579237671774735781838191688812962954615020843851588626209361892440799841770076145791232267308635173687945387259783230470465040054604277710489217125417354741102679878673554371860119766415368014194206642385331498529230542243401957046360757107415564614725258133814588928076412426172770498714976984091635455156520161790846745302196881/70832716039060787575019371998399703372370420727520240442729352521330214494876720377530772799765404941387257682344958192301786996154825234445252173264518852950837949033549952368599498141588611063397934984275204032855635046974375061537948734845615737591638767341718256227676209579248783679691850093583841294242365142939564578585055822631025701562577967640493618540531148693220987257217576296144889656348745169820122287240642560000000000000000000000000000000,0.0006602809053700123,5.654494817203321e-05,True,,combined three computations,,
tie0,4,8,3,bellman,7178022453715160047/1374389534720000000,37669504437851374230459511/7205759403792793600000000,0.004995181451422071,0.0009555229423477116,False,879,time_cap,120.072519745,79.65137780500001
tie0,4,8,3,aggregate,6964196102487191297/1374389534720000000,37669504437851374230459511/7205759403792793600000000,0.16057432828444196,0.03071609232216717,False,2047,node_cap,105.07264569699998,62.810373895
tie0,4,8,3,certified_intersection,7178022453715160047/1374389534720000000,37669504437851374230459511/7205759403792793600000000,0.004995181451422071,0.0009555229423477116,False,,combined three computations,,
tie1,4,8,3,bellman,7177665053005628797/1374389534720000000,37669506426021848879703131/7205759403792793600000000,0.0052555006068846465,0.0010053190634198889,False,789,time_cap,120.18607502100001,74.915035736
tie1,4,8,3,aggregate,176895137824973/35184372088832,37669506426021848879703131/7205759403792793600000000,0.2000319631416917,0.03826389927083518,False,2047,node_cap,100.177159504,61.846581069000024
tie1,4,8,3,certified_intersection,7177665053005628797/1374389534720000000,37669506426021848879703131/7205759403792793600000000,0.0052555006068846465,0.0010053190634198889,False,,combined three computations,,
tie2,4,8,3,bellman,3592134054446603461/687194767360000000,75378788890797285026608467/14411518807585587200000000,0.003211162258962814,0.0006139356438360273,False,879,time_cap,120.06685930400002,75.87167236999997
tie2,4,8,3,aggregate,6957992234879535047/1374389534720000000,146436028312776446877106210122028870276834696641984017887575640047889740232636221108945844573922699011385689431/27996809277222552631968028507105553476520568715433119186249863762047398389752011817260968665895088947200000000,0.16784852913733792,0.03209062217723627,False,2047,node_cap,100.464544526,59.70656246499999
tie2,4,8,3,certified_intersection,3592134054446603461/687194767360000000,75378788890797285026608467/14411518807585587200000000,0.003211162258962814,0.0006139356438360273,False,,combined three computations,,
tie3,4,8,3,bellman,11410509403535160047/1374389534720000000,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,0.13449368172861242,0.015941443010918682,False,1053,time_cap,120.11767545599997,64.36022508400004
tie3,4,8,3,aggregate,9725731767801097547/1374389534720000000,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,1.3603307484211327,0.16123906211233122,False,2047,node_cap,70.65326917300001,40.170535986000004
tie3,4,8,3,certified_intersection,11410509403535160047/1374389534720000000,555307235521298769804396310466235712070222578860459862626472190219093479/65820182292848241686198767302294020199309434625343194533944360960000000,0.13449368172861242,0.015941443010918682,False,,combined three computations,,
