architecture,seed,step,width,historical_certificate,certified_objective_upper,endpoint_correction_upper,entropy_allowance_upper
allface,17100,400,16,7.345560660302544,7.835692644435168,1.1114937747321862e-14,1.6318678910638074
allface,17101,0,32,30.51466223717118,30.80660543842713,1.1556024264406934e-13,1.6318678910638074
allface,17101,100,32,7.637592247012553,8.010945788818615,1.4824959393881633e-14,1.6318678910638074
allface,17101,400,32,7.263537679546874,7.80589932985165,1.1114937747321862e-14,1.6318678910638074
allface,17102,0,16,30.34091391517501,30.629456815418024,1.1627531595817805e-13,1.6318678910638074
allface,17102,100,16,11.066205537729575,11.337506519399561,3.7612024643838646e-14,1.6318678910638074
allface,17102,400,16,7.351242083619882,7.83811367818721,1.2202106772339178e-14,1.6318678910638074
allface,17103,0,32,30.51834352170156,30.815302157533065,1.1809326039356997e-13,1.6318678910638074
allface,17103,100,32,7.6105383673875195,7.990554216864604,1.4614969424973918e-14,1.6318678910638074
allface,17103,400,32,7.263377701044508,7.8058953088211425,1.242522134215862e-14,1.6318678910638074
allface,17104,0,16,30.390964842341127,30.679369951452493,1.1407670942361312e-13,1.6318678910638074
allface,17104,100,16,10.895770816790938,11.163902650108147,3.828576531207156e-14,1.6318678910638074
allface,17104,400,16,7.345014609419886,7.835970799911385,1.1324971246883258e-14,1.6318678910638074
allface,17105,0,32,30.49146639323765,30.784295444353354,1.1677411769402922e-13,1.6318678910638074
allface,17105,100,32,7.676888578299642,8.03885015295535,1.5706469786308128e-14,1.6318678910638074
allface,17105,400,32,7.261518426878175,7.805101884864837,1.1545909320293695e-14,1.6318678910638074
allface,17106,0,16,30.360840512343707,30.64869557961845,1.142323068975852e-13,1.6318678910638074
allface,17106,100,16,11.295956630305291,11.582154648892145,4.393614983095408e-14,1.6318678910638074
allface,17106,400,16,7.349998924540964,7.837642651922344,1.1764649023142561e-14,1.6318678910638074
allface,17107,0,32,30.705365296446587,31.001815721328832,1.1907746907502792e-13,1.6318678910638074
allface,17107,100,32,7.678566536713418,8.04139943708354,1.56934103725512e-14,1.6318678910638074
allface,17107,400,32,7.262408042644451,7.805479125978648,1.1556770363489054e-14,1.6318678910638074
allface,17108,0,16,30.340686594562925,30.630268123452808,1.162447570765388e-13,1.6318678910638074
allface,17108,100,16,10.162176841746874,10.433425832799792,3.0172501818497996e-14,1.6318678910638074
allface,17108,400,16,7.345878776440913,7.836215290867493,1.1114937747321862e-14,1.6318678910638074
allface,17109,0,32,30.5702777288712,30.860232847278517,1.1646780645920344e-13,1.6318678910638074
allface,17109,100,32,7.640730422042312,8.010757711881453,1.5691255532643312e-14,1.6318678910638074
allface,17109,400,32,7.261510738366699,7.805042785546714,1.1114915873169294e-14,1.6318678910638074
