dataset,path,arm,seed,rate,orders,calls,generation_seconds,checker_seconds,candidate_status,candidate_bound,deployed_bound,termination
multicell,revisions/2026-09-23-r24/results/multicell/vertex8/direct_adam/record.json,direct_adam,24308,0.08,--,400,1.1694712140000547,2.061531374000083,CERTIFIED,0.003940200658016702,0.003940200658016702,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex8/direct_lbfgsb/record.json,direct_lbfgsb,24308,0.08,--,159,0.4556567839999843,2.089485083999989,CERTIFIED,0.0038343955700856918,0.0038343955700856918,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
multicell,revisions/2026-09-23-r24/results/multicell/vertex8/neural_adam/record.json,neural_adam,24308,0.08,--,400,1.3069354560000193,2.0586317639999834,CERTIFIED,0.0038373653392413947,0.0038373653392413947,call_cap
multicell,revisions/2026-09-23-r24/results/multicell/vertex8/tangent_adam/record.json,tangent_adam,24308,0.08,--,400,1.1702838869999823,2.0685079549999728,CERTIFIED,0.003973638639497957,0.003973638639497957,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24501/diagonal_adam/record.json,diagonal_adam,24501,0.08,--,400,0.19588398400000528,0.06624201599998969,CERTIFIED,5.270607106266923e-05,5.270607106266923e-05,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24501/direct_adam/record.json,direct_adam,24501,0.08,--,400,0.19753350499999556,0.06587538299996254,CERTIFIED,5.0260204162544404e-05,5.0260204162544404e-05,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24501/direct_lbfgsb/record.json,direct_lbfgsb,24501,0.08,--,14,0.007212706999979446,0.06707079700001373,CERTIFIED,3.392841563254479e-13,3.392841563254479e-13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
reference,revisions/2026-09-23-r24/results/reference/seed24501/neural_adam/record.json,neural_adam,24501,0.08,--,400,0.32061155700000654,0.06580941999996526,CERTIFIED,0.002771189642140737,0.002771189642140737,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24501/tangent_adam/record.json,tangent_adam,24501,0.08,--,400,0.19707974800002148,0.06695087299996771,CERTIFIED,1.9556855897828743e-05,1.9556855897828743e-05,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24501/white_adam/record.json,white_adam,24501,0.08,--,400,0.19602592000001096,0.06563578600000142,CERTIFIED,0.5345056898811481,0.5345056898811481,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24502/diagonal_adam/record.json,diagonal_adam,24502,0.08,--,400,0.19752485899999783,0.06631400199998438,CERTIFIED,6.450276483649377e-05,6.450276483649377e-05,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24502/direct_adam/record.json,direct_adam,24502,0.08,--,400,0.19937812199998461,0.066531389999966,CERTIFIED,5.492340397061924e-05,5.492340397061924e-05,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24502/direct_lbfgsb/record.json,direct_lbfgsb,24502,0.08,--,14,0.006923242999988588,0.0660565569999676,CERTIFIED,9.192646643896297e-14,9.192646643896297e-14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
reference,revisions/2026-09-23-r24/results/reference/seed24502/neural_adam/record.json,neural_adam,24502,0.08,--,400,0.3211860309999963,0.06593644799997378,CERTIFIED,3.620556521255481e-08,3.620556521255481e-08,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24502/tangent_adam/record.json,tangent_adam,24502,0.08,--,400,0.19743533199999774,0.06693713699999648,CERTIFIED,8.427594421434039e-06,8.427594421434039e-06,call_cap
reference,revisions/2026-09-23-r24/results/reference/seed24502/white_adam/record.json,white_adam,24502,0.08,--,400,0.1958145110000089,0.07285371300000065,CERTIFIED,0.5646301977734637,0.5646301977734637,call_cap
failure,revisions/2026-09-23-r24/results/failure/direct_restart/record.json,direct_restart,23203,0.005,--,4,0.012738965000011149,10.70405947599997,CERTIFIED,0.010503066636505133,0.010503067109813415,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
failure,revisions/2026-09-23-r24/results/failure/regenerated/record.json,regenerated,23203,0.005,--,92,0.2992573020000009,10.933732221999975,CERTIFIED,0.010503067109813415,0.010503332866558692,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
failure,revisions/2026-09-23-r24/results/failure/restart_tighter/record.json,restart_tighter,23203,0.005,--,43,0.14106887999997753,10.771664911999977,CERTIFIED,0.010503066797939555,0.010503067109813415,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
failure,revisions/2026-09-23-r24/results/failure/scaled/record.json,scaled,23203,0.005,--,400,1.4225547160000076,10.799946494000011,CERTIFIED,0.0025548266884827258,0.0025548266884827258,call_cap_last_accepted_iterate
