dataset,path,arm,seed,orders,cap,calls,accepted,candidate_status,candidate_bound,deployed_bound,generation_seconds,cumulative_check_seconds
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[12, 24]",25,25,True,CERTIFIED,0.0019301542141321184,0.0019301542141321184,0.11816106399999171,2.108668786999999
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[12, 24]",50,50,True,CERTIFIED,0.0019234705809005883,0.0019234705809005883,0.23804949999998826,4.219504959999995
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[12, 24]",100,100,False,CERTIFIED,0.0019232873766850125,0.0019234705809005883,0.47330920299998525,6.314021759000013
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[12, 24]",200,114,False,CERTIFIED,0.001923287065451085,0.0019234705809005883,0.5375408029999562,8.433284370000024
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[12, 24]",400,114,False,CERTIFIED,0.001923287065451085,0.0019234705809005883,0.5375408029999562,10.54201069000004
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_adam/record.json,neural_adam,24101,"[12, 24]",25,25,True,CERTIFIED,0.0020013738761250903,0.0020013738761250903,0.13339350699999386,2.0752111550000336
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_adam/record.json,neural_adam,24101,"[12, 24]",50,50,True,CERTIFIED,0.0019494973587166344,0.0019494973587166344,0.2623872439999957,4.155748484000014
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_adam/record.json,neural_adam,24101,"[12, 24]",100,100,True,CERTIFIED,0.0019348882312102413,0.0019348882312102413,0.5084477769999864,6.230942545000005
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_adam/record.json,neural_adam,24101,"[12, 24]",200,200,True,CERTIFIED,0.0019286122975410438,0.0019286122975410438,1.0121875289999593,8.296972458000027
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_adam/record.json,neural_adam,24101,"[12, 24]",400,400,True,CERTIFIED,0.0019253269342498493,0.0019253269342498493,2.0019817899999452,10.366682223000055
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[12, 24]",25,25,True,CERTIFIED,0.009609657627837278,0.009609657627837278,0.12218547700001636,2.132857709999996
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[12, 24]",50,50,True,CERTIFIED,0.009608180120207256,0.009608180120207256,0.24778912000004993,4.235489649999977
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[12, 24]",100,87,False,CERTIFIED,0.009608169993687634,0.009608180120207256,0.4365892190000409,6.348967345999995
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[12, 24]",200,87,False,CERTIFIED,0.009608169993687634,0.009608180120207256,0.4365892190000409,8.462883191999993
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/neural_lbfgsb/record.json,neural_lbfgsb,24101,"[12, 24]",400,87,False,CERTIFIED,0.009608169993687634,0.009608180120207256,0.4365892190000409,10.579521157000045
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/tangent_adam/record.json,tangent_adam,24101,"[12, 24]",25,25,True,CERTIFIED,0.00448466544007431,0.00448466544007431,0.11869349800002738,2.066709928000023
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/tangent_adam/record.json,tangent_adam,24101,"[12, 24]",50,50,True,CERTIFIED,0.0023903476996551824,0.0023903476996551824,0.23374866200003908,4.140764290999982
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/tangent_adam/record.json,tangent_adam,24101,"[12, 24]",100,100,True,CERTIFIED,0.0021399094940257606,0.0021399094940257606,0.46640968200000543,6.210333907000006
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/tangent_adam/record.json,tangent_adam,24101,"[12, 24]",200,200,True,CERTIFIED,0.002095941352998843,0.002095941352998843,0.9274416049999559,8.278150928999992
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/tangent_adam/record.json,tangent_adam,24101,"[12, 24]",400,400,True,CERTIFIED,0.0020844634590901916,0.0020844634590901916,1.8616758579999555,10.38906658000002
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/white_adam/record.json,white_adam,24101,"[12, 24]",25,25,True,CERTIFIED,0.030153300223597416,0.030153300223597416,0.12290649400000575,2.1200727769999617
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/white_adam/record.json,white_adam,24101,"[12, 24]",50,50,True,CERTIFIED,0.02360655084463348,0.02360655084463348,0.24672140600000603,4.234183406
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/white_adam/record.json,white_adam,24101,"[12, 24]",100,100,True,CERTIFIED,0.020258876008518726,0.020258876008518726,0.4820937900000217,6.350563360999956
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/white_adam/record.json,white_adam,24101,"[12, 24]",200,200,True,CERTIFIED,0.01892329343609656,0.01892329343609656,0.9569801769999913,8.464306954999984
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q12_24/white_adam/record.json,white_adam,24101,"[12, 24]",400,400,True,CERTIFIED,0.018742267018054818,0.018742267018054818,1.9179571919999603,10.584052033999967
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/diagonal_adam/record.json,diagonal_adam,24101,"[8, 16]",25,25,True,CERTIFIED,0.007060107530574956,0.007060107530574956,0.07480924399999367,2.056892457999993
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/diagonal_adam/record.json,diagonal_adam,24101,"[8, 16]",50,50,True,CERTIFIED,0.0032728223392410887,0.0032728223392410887,0.14802684899996166,4.117359099999987
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/diagonal_adam/record.json,diagonal_adam,24101,"[8, 16]",100,100,True,CERTIFIED,0.002453834921735121,0.002453834921735121,0.29557980799995676,6.185222965999998
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/diagonal_adam/record.json,diagonal_adam,24101,"[8, 16]",200,200,True,CERTIFIED,0.0021449393926344933,0.0021449393926344933,0.5972400719999484,8.25524051299999
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/diagonal_adam/record.json,diagonal_adam,24101,"[8, 16]",400,400,True,CERTIFIED,0.0020087346052335424,0.0020087346052335424,1.1816126459999339,10.319522490999987
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_adam/record.json,direct_adam,24101,"[8, 16]",25,25,True,CERTIFIED,0.00930229474764044,0.00930229474764044,0.07632047500001704,2.0645650339999975
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_adam/record.json,direct_adam,24101,"[8, 16]",50,50,True,CERTIFIED,0.00398708014212379,0.00398708014212379,0.14991619500000297,4.137257783999985
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_adam/record.json,direct_adam,24101,"[8, 16]",100,100,True,CERTIFIED,0.0026766054848634817,0.0026766054848634817,0.29688341700003207,6.202440645999985
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_adam/record.json,direct_adam,24101,"[8, 16]",200,200,True,CERTIFIED,0.0022254871245370737,0.0022254871245370737,0.590534353999999,8.259032924999985
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_adam/record.json,direct_adam,24101,"[8, 16]",400,400,True,CERTIFIED,0.0020382481521643574,0.0020382481521643574,1.1785735370000054,10.325065026000004
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[8, 16]",25,25,True,CERTIFIED,0.0019301724737361694,0.0019301724737361694,0.07248824999999215,2.085055400000016
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[8, 16]",50,50,True,CERTIFIED,0.0019234428579739673,0.0019234428579739673,0.14400810899999783,4.174036113000028
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[8, 16]",100,100,False,CERTIFIED,0.001923295439192563,0.0019234428579739673,0.2869773959999975,6.254333863000028
heldout,revisions/2026-09-23-r24/results/heldout/seed24101/q8_16/direct_lbfgsb/record.json,direct_lbfgsb,24101,"[8, 16]",200,104,False,CERTIFIED,0.0019232953479479955,0.0019234428579739673,0.2985274220000065,8.33200774200003
