{'file': 'results/randomized/random_H8_defer_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 116, 'cost_cells': 8225, 'restart_cells': 8267, 'support_inequalities_for_horizon_rule': 5790, 'seconds': 40.811838835, 'sha256': '9c133810438f9c636577129b7e465f2c54ee6549bdd96c167143cffbb81a2f48', 'restart_sha256': '7f1ec60e3a5ed2161158238c5e29abaed08689ad1096aa76ea27205aa81bf215'}
{'file': 'results/randomized/random_H8_neural31001_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 272, 'cost_cells': 8225, 'restart_cells': 8312, 'support_inequalities_for_horizon_rule': 6786, 'seconds': 38.233486551000055, 'sha256': '8faa1aa68ecf0f1ae4f2e59af7f7a6c1543caf7a1eae6d77dd52ba2634be8ec6', 'restart_sha256': '53bbb6f5fdaa861a18237f0719809d44fcc6a734e470d0a5794b182e5b5651c5'}
{'file': 'results/randomized/random_H8_neural31002_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 260, 'cost_cells': 8221, 'restart_cells': 8302, 'support_inequalities_for_horizon_rule': 6612, 'seconds': 38.166221167, 'sha256': '74f4473ec48c55dc3a268e260f05b810a0d1deb0d208f4bfeaa9cd2a67bb9284', 'restart_sha256': '0edad9a591811f7f5c310d41c68bf4d6e6120fe2274299e9255665889cf2a97b'}
{'file': 'results/randomized/random_H8_defer_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 116, 'cost_cells': 8225, 'restart_cells': 8288, 'support_inequalities_for_horizon_rule': 5790, 'seconds': 39.227492773999984, 'sha256': 'fce9719598784583b9bf549ab1961b5749ffdad574b571e278fe485966c824a4', 'restart_sha256': '7db6e922e003e234900206b5e8c00057b52d072bbd62a9658eaf7ac5e5d4c2be'}
{'file': 'results/randomized/random_H8_neural31001_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 238, 'cost_cells': 8227, 'restart_cells': 8278, 'support_inequalities_for_horizon_rule': 6786, 'seconds': 35.788818589000016, 'sha256': 'a60a24243c8fb43b06c7a30e1c31f2daac72d4a4d0b23096ade3e76f40f8df98', 'restart_sha256': '1ae415b75711b1c96b1f8bd490d0591b684968a05a4139b3011513ce03368ab7'}
{'file': 'results/randomized/random_H8_neural31002_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 246, 'cost_cells': 8224, 'restart_cells': 8270, 'support_inequalities_for_horizon_rule': 6612, 'seconds': 35.74297720600009, 'sha256': '2ee8f28639b5603d49904f6d2e5b9b3f226d9aa8e5f86e36d0949bb3d06ebd3c', 'restart_sha256': '5e9a19e0b049ad54b9c1fac814af479f73686fbdf61ad32da8aa9d076cfda6e8'}
{'file': 'results/randomized/random_H8_neural31003_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 258, 'cost_cells': 8222, 'restart_cells': 8327, 'support_inequalities_for_horizon_rule': 5946, 'seconds': 37.223667793999994, 'sha256': '8c0bba5fcb9fcdcc2fff2cae38016c4fe1f438e31b865cc4531396b86f172117', 'restart_sha256': '0e89f7e76dfdfbcc49aa2e8f8e6bfaecd1b08949c49757ddf1279871fd7f13a0'}
{'file': 'results/randomized/random_H12_occupancy_stress_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 1326, 'cost_cells': 12595, 'restart_cells': 13940, 'support_inequalities_for_horizon_rule': 122160, 'seconds': 162.7123738439999, 'sha256': '7317787852fb86c03a295fe747930d0b8a290114a3de340a34b42a39bd5c9d4d', 'restart_sha256': '79bdc9578e947c548b510f38614d411a46cecd75d91e2c865237cd0ae2221e86'}
{'file': 'results/randomized/random_H8_occupancy_stress_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 276, 'cost_cells': 8241, 'restart_cells': 8445, 'support_inequalities_for_horizon_rule': 24486, 'seconds': 47.22461523300001, 'sha256': '1ade2a610262009ebbc27c984e8e92100020f792a0e6fa97150200286094ff9f', 'restart_sha256': '60d5736a002000197143df991993b3c687f3f3d499d0e7c1bbcf2a6be044f466'}
{'file': 'results/randomized/random_H8_spline129_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 208, 'cost_cells': 8206, 'restart_cells': 8245, 'support_inequalities_for_horizon_rule': 4986, 'seconds': 35.93985447199998, 'sha256': '633c44bf4d748738be8394542f1d5db2624f6eb7b6bb48416993fa2bc65726a8', 'restart_sha256': 'a9bb70e2a2cb2219eb3262d7d22e4b7f6abaff0a551c2f901edaf10e66889194'}
{'file': 'results/randomized/random_H8_neural31003_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 236, 'cost_cells': 8218, 'restart_cells': 8268, 'support_inequalities_for_horizon_rule': 5946, 'seconds': 35.06659451200005, 'sha256': '817293d1fd166c21d77b1966e42db09bb6bb4dd4acade2dc5549985204a93815', 'restart_sha256': '3a5a7f1a32da3301c8765f23fafe070082d236b352c7a3544c23e5c38939ecc9'}
{'file': 'results/randomized/random_H8_spline33_eps1_100.json.gz', 'passed': True, 'operating_cells_and_points': 206, 'cost_cells': 8206, 'restart_cells': 8245, 'support_inequalities_for_horizon_rule': 5388, 'seconds': 35.08051243900002, 'sha256': '5fed1bc3608c0e700d458892a3497b613b4371be7052810df7efa19d7fd2fa70', 'restart_sha256': '9559c086b225ea177774ce9173bcb4a3cf816fd07ee1ec67e58a49cd88a3c5f3'}
{'file': 'results/randomized/random_H8_spline129_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 208, 'cost_cells': 8206, 'restart_cells': 8245, 'support_inequalities_for_horizon_rule': 4986, 'seconds': 28.731036306000078, 'sha256': '0259a89e4640b524ebb2d99ec12c3127b5882f94e2e6360079c1185c922d2647', 'restart_sha256': 'b9a4d9644c4aa46692eaf5d6e57d114c4ee16f27c448a30de5e83177bd2f4ba7'}
{'file': 'results/randomized/random_H8_occupancy_stress_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 276, 'cost_cells': 8241, 'restart_cells': 8473, 'support_inequalities_for_horizon_rule': 24486, 'seconds': 35.310982910999996, 'sha256': '46545572485fd4dc5392013cb4117e1dc20cc340aa1b5f2bffc5564c144726f4', 'restart_sha256': 'd611e58d749e0fa1983b8a42920decd1fd1e775e85e5eccb1ffcbfc21146ef65'}
{'file': 'results/randomized/random_H8_spline33_eps1_20.json.gz', 'passed': True, 'operating_cells_and_points': 206, 'cost_cells': 8206, 'restart_cells': 8245, 'support_inequalities_for_horizon_rule': 5388, 'seconds': 22.614580501999967, 'sha256': '4d493f8203c04588742d0c613c46e12e883c8114ac68cf420ad4e2f0da55fbb1', 'restart_sha256': '466e73bb06b9037041505a1d923ea32ed752a5f257878c566b28ee176274f152'}
