case,method,grid_or_nodes,cumulative_seconds,lower,upper,width
ties0,budget8.0,273,1.9011133839999843,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,275,1.9144065830000159,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,277,1.9279441200000065,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,279,1.9412835589999986,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,281,1.954595497000014,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,283,1.9683532440000135,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,285,1.9821146279999766,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,287,1.995862821000003,1.0678374338840948,1.0748499933747566,0.007012559490661975
ties0,budget8.0,289,2.009658865999995,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,291,2.0230496419999895,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,293,2.0364463779999937,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,295,2.0497765329999993,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,297,2.063143764000017,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,299,2.076471594999987,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,301,2.089934169000003,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,303,2.1033964330000003,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,305,2.1167597479999927,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,307,2.130106487999967,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,309,2.143671255000015,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,311,2.157108552000011,1.0679561168544471,1.0748499933747566,0.006893876520309525
ties0,budget8.0,313,2.1705073800000036,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,315,2.183878335999964,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,317,2.197234100000003,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,319,2.210631886999977,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,321,2.223998026000004,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,323,2.237734811999985,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,325,2.251535084000011,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,327,2.2653825059999804,1.0684284277923535,1.0748499933747566,0.00642156558240316
ties0,budget8.0,329,2.2791725729999825,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,331,2.292545861999997,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,333,2.305829186999972,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,335,2.3191482159999737,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,337,2.3324599630000193,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,339,2.345735246000004,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,341,2.359017888999972,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,343,2.3723659309999903,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,345,2.3857130719999873,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,347,2.399076296999965,1.0685162959036343,1.0748499933747566,0.006333697471122423
ties0,budget8.0,349,2.412336857000014,1.068535990130431,1.0748499933747566,0.006314003244325707
ties0,budget8.0,351,2.4258840879999752,1.068535990130431,1.0748499933747566,0.006314003244325707
