H12_defer_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 12.998892446000013, 'intervals': 2281, 'isolated_points': 2293, 'affine_comparisons': 101114, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H12_defer_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '3ce60fd00a2ba32ae61b703e6ed5f187108a4566baa0c1638a62a9f58b2750c4'}
H4_spline33_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.20479938100004347, 'intervals': 52, 'isolated_points': 56, 'affine_comparisons': 2454, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_spline33_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '3c35004551c908756c46d42770ed778d4c9877159d737b38b5ed7b5eeca49ef1'}
H4_spline33_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 0.20431399599999622, 'intervals': 52, 'isolated_points': 56, 'affine_comparisons': 2466, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H4_spline33_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '167ababf1921f17e4e13d8dd26c58e01f1fed1609a4e929184ffd992c514d73b'}
H8_defer_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 1.0843233419999478, 'intervals': 233, 'isolated_points': 241, 'affine_comparisons': 10614, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_defer_epsilon1_100_deterministic.json.gz', 'canonical_sha256': 'dd5b6b6bd97015adabee8b397a13e57eda05fb65b6db9659e3c562697a637af8'}
H8_defer_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 1.2448302440000134, 'intervals': 263, 'isolated_points': 271, 'affine_comparisons': 12234, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_defer_epsilon1_20_deterministic.json.gz', 'canonical_sha256': 'a80d60fa42813d6c927377f6cf6384526dfb8ad810ddc496681e649a91eed841'}
H8_neural31001_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 1.1828260859999773, 'intervals': 268, 'isolated_points': 276, 'affine_comparisons': 12154, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_neural31001_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '18a3882e7addb89c9cc55c90cedb8c26560d9d8de9cf8c0d2e74f254d9d8d656'}
H8_neural31001_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 1.2364650249999158, 'intervals': 273, 'isolated_points': 281, 'affine_comparisons': 12666, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_neural31001_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '57f6a02a743691cdbcbfe4a5935984a6e7fdf0957ced25958c31bf0780b8b539'}
H8_neural31002_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 1.147243116000027, 'intervals': 260, 'isolated_points': 268, 'affine_comparisons': 11810, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_neural31002_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '60892ed5536d935dd7e512320487ee9f947df2b459646711479d86815f12d0b9'}
H8_neural31002_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 1.2274536830000216, 'intervals': 280, 'isolated_points': 288, 'affine_comparisons': 12966, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_neural31002_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '9a67b86cad318f52f3b7966fd1fc1cf15584382433fbbd7e44db4fecf8beaabd'}
H8_neural31003_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 1.15561138999999, 'intervals': 264, 'isolated_points': 272, 'affine_comparisons': 11978, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_neural31003_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '636b8964467c2087d535420a815877e0fbc07c061d67cba6861169131cc90cc2'}
H8_neural31003_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 1.0259183769999254, 'intervals': 236, 'isolated_points': 244, 'affine_comparisons': 10930, 'exact_integrated': True, 'exact_pointwise': False, 'file': 'H8_neural31003_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '788db666b31902f707acea5447c0a2e65b09e77c8956db7549bce048a8395193'}
H8_occupancy_stress_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 2.384052180000026, 'intervals': 507, 'isolated_points': 515, 'affine_comparisons': 22682, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H8_occupancy_stress_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '8a0fb0ff5763934562c22873adf6e9378777c91545c8e01215389d182b195fbc'}
H8_occupancy_stress_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 2.7782520770000474, 'intervals': 578, 'isolated_points': 586, 'affine_comparisons': 26038, 'exact_integrated': False, 'exact_pointwise': False, 'file': 'H8_occupancy_stress_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '9f27e2db1d42462ab72eef4e37256a6bafda91c873b4a6bb2b143b55f68593d5'}
H8_spline129_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.7620065470000554, 'intervals': 189, 'isolated_points': 197, 'affine_comparisons': 8698, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H8_spline129_epsilon1_100_deterministic.json.gz', 'canonical_sha256': '0f593f6f6e177482777e30917678c90f0020a38851e97e8f2837ba312547b210'}
H8_spline129_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 0.7695420889999696, 'intervals': 189, 'isolated_points': 197, 'affine_comparisons': 8826, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H8_spline129_epsilon1_20_deterministic.json.gz', 'canonical_sha256': 'bfcb64bd47ebe2fa8ff60f627ac66b15955d09b67b17b37fb22d8c5bca23ef32'}
H8_spline33_epsilon1_100_deterministic.json.gz {'passed': True, 'seconds': 0.7684475610000163, 'intervals': 188, 'isolated_points': 196, 'affine_comparisons': 8658, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H8_spline33_epsilon1_100_deterministic.json.gz', 'canonical_sha256': 'b2b4df024a86d927ac226299d8dfa127bd8238ddae5dad5e41c89dff37a0ae87'}
H8_spline33_epsilon1_20_deterministic.json.gz {'passed': True, 'seconds': 0.7682118390000596, 'intervals': 188, 'isolated_points': 196, 'affine_comparisons': 8782, 'exact_integrated': True, 'exact_pointwise': True, 'file': 'H8_spline33_epsilon1_20_deterministic.json.gz', 'canonical_sha256': '3a5ad22dadeb4dd7574725461e6c59662ba0f66974017b98a2225e3adb239439'}
ALL VERIFIED 42 MUTATIONS REJECTED 20
